Class,Code,Description,RFC,Explanation
Redirect,301,Moved Permanently,RFC 7231,The requested resource has been assigned a new permanent URI and any future references to this resource SHOULD be done using one of the returned URIs. Clients with link editing capabilities SHOULD automatically re-link references to the Request-URI to one or more of the new references returned by the server where possible. This response is cachable unless indicated otherwise. If the new URI is a location its URL SHOULD be given by the Location field in the response. Unless the request method was HEAD the entity of the response SHOULD contain a short hypertext note with a hyperlink to the new URI(s). If the 301 status code is received in response to a request other than GET or HEAD the user agent MUST NOT automatically redirect the request unless it can be confirmed by the user since this might change the conditions under which the request was issued. Note: When automatically redirecting a POST request after receiving a 301 status code some existing HTTP/1.0 user agents will erroneously change it into a GET request.
Redirect,302,Found - Moved Temporarily,RFC 7231,The requested resource resides temporarily under a different URI. Since the redirection may be altered on occasion the client SHOULD continue to use the Request-URI for future requests. This response is only cachable if indicated by a Cache-Control or Expires header field. If the new URI is a location its URL SHOULD be given by the Location field in the response. Unless the request method was HEAD the entity of the response SHOULD contain a short hypertext note with a hyperlink to the new URI(s). If the 302 status code is received in response to a request other than GET or HEAD the user agent MUST NOT automatically redirect the request unless it can be confirmed by the user since this might change the conditions under which the request was issued. Note: When automatically redirecting a POST request after receiving a 302 status code some existing HTTP/1.0 user agents will erroneously change it into a GET request.
Redirect,303,See Other,RFC 7231,The response to the request can be found under a different URI and SHOULD be retrieved using a GET method on that resource. This method exists primarily to allow the output of a POST-activated script to redirect the user agent to a selected resource. The new URI is not a substitute reference for the originally requested resource. The 303 response is not cachable but the response to the second (redirected) request MAY be cachable. If the new URI is a location its URL SHOULD be given by the Location field in the response. Unless the request method was HEAD the entity of the response SHOULD contain a short hypertext note with a hyperlink to the new URI(s).
Redirect,304,Not Modified,RFC 7232,If the client has performed a conditional GET request and access is allowed but the document has not been modified the server SHOULD respond with this status code. The response MUST NOT contain a message-body. The response MUST include the following header fields: Date ETag and/or Content-Location if the header would have been sent in a 200 response to the same request Expires Cache-Control and/or Vary if the field-value might differ from that sent in any previous response for the same variant If the conditional GET used a strong cache validator (see section 13.3.3) the response SHOULD NOT include other entity-headers. Otherwise (i.e. the conditional GET used a weak validator) the response MUST NOT include other entity-headers; this prevents inconsistencies between cached entity-bodies and updated headers. If a 304 response indicates an entity not currently cached then the cache MUST disregard the response and repeat the request without the conditional. If a cache uses a received 304 response to update a cache entry the cache MUST update the entry to reflect any new field values given in the response. The 304 response MUST NOT include a message-body
Redirect,305,Use Proxy,RFC 7231,The requested resource MUST be accessed through the proxy given by the Location field. The Location field gives the URL of the proxy. The recipient is expected to repeat the request via the proxy.
Redirect,306,Switch Proxy,RFC 2616,"No longer used. Originally meant ""Subsequent requests should use the specified proxy."" "
Redirect,307,Temporary Redirect,RFC 7231,HTTP_STATUS_REDIRECT_KEEP_VERB // HTTP/1.1: keep same verb
Redirect,308,Permanent Redirect,RFC 7538,"The request, and all future requests should be repeated using another URI. 307 and 308 parallel the behaviours of 302 and 301, but do not allow the HTTP method to change. So, for example, submitting a form to a permanently redirected resource may continue smoothly."
Redirect,308,Resume Incomplete,Google,This code is used in the Resumable HTTP Requests Proposal to resume aborted PUT or POST requests
Client Error,400,Bad Request,RFC 7231,The request could not be understood by the server due to malformed syntax. The client SHOULD NOT repeat the request without modifications.
Client Error,401,Unauthorized,RFC 2616,The request requires user authentication. The response MUST include a WWW-Authenticate header field (section 14.46) containing a challenge applicable to the requested resource. The client MAY repeat the request with a suitable Authorization header field (section 14.8). If the request already included Authorization credentials then the 401 response indicates that authorization has been refused for those credentials. If the 401 response contains the same challenge as the prior response and the user agent has already attempted authentication at least once then the user SHOULD be presented the entity that was given in the response since that entity MAY include relevant diagnostic information. HTTP access authentication is explained in section 11.  IIS defines a number of different 401 errors that indicate a more specific cause of the error. These specific error codes are displayed in the browser but are not displayed in the IIS log.
Client Error,401.1,Access denied.,Microsoft,Unauthorized: Access is denied due to invalid credentials.
Client Error,401.2,Access denied.,Microsoft,Unauthorized: Access is denied due to server configuration favoring an alternate authentication method.
Client Error,401.3,Access denied.,Microsoft,Unauthorized: Access is denied due to an ACL set on the requested resource. This indicates a problem with NTFS permissions. This error may occur even if the permissions are correct for the file that you are trying to access. For example you see this error if the IUSR account does not have access to the C:\Winnt\System32\Inetsrv directory. For additional information about how to resolve this problem click the following article number to view the article in the Microsoft Knowledge Base: 187506 INFO: Basic NTFS permissions for IIS 4.0
Client Error,401.4,Access denied.,Microsoft,Unauthorized: Authorization failed by a filter installed on the Web server.
Client Error,401.5,Access denied.,Microsoft,Unauthorized: Authorization failed by an ISAPI/CGI application.
Client Error,401.7,Access denied.,Microsoft,Unauthorized: Access denied by URL authorization policy on the Web server. This error code is specific to IIS 6.0.
Client Error,402,Payment Required,RFC 7231,This code is reserved for future use.
Client Error,403,Forbidden,RFC 7231,The server understood the request but is refusing to fulfill it. Authorization will not help and the request SHOULD NOT be repeated. If the request method was not HEAD and the server wishes to make public why the request has not been fulfilled it SHOULD describe the reason for the refusal in the entity. This status code is commonly used when the server does not wish to reveal exactly why the request has been refused or when no other response is applicable. IIS defines a number of different 403 errors that indicate a more specific cause of the error.
Client Error,403.1,Forbidden,Microsoft,Execute access forbidden. The following are two common causes of this error message: (1)You do not have enough Execute permissions. For example you may receive this error message if you try to access an ASP page in a directory where permissions are set to None or you try to execute a CGI script in a directory with Scripts Only permissions. To modify the Execute permissions click Properties click the Directory tab and make sure that the Execute Permissions setting is appropriate for the content that you are trying to access. (2) The script mapping for the file type that you are trying to execute is not set up to recognize the verb that you are using (for example GET or POST). To verify this right-click the directory in the MMC click Properties click the Directory tab click Configuration and verify that the script mapping for the appropriate file type is set up to allow the verb that you are using.
Client Error,403.10,Forbidden,Microsoft,Invalid configuration: Web server is configured to deny Execute access.
Client Error,403.11,Forbidden,Microsoft,Password change.
Client Error,403.12,Forbidden,Microsoft,Mapper denied access. The page that you want to access requires a client certificate but the user ID that is mapped to your client certificate has been denied access to the file. For additional information click the article number below to view the article in the Microsoft Knowledge Base: 248075 Error: HTTP 403.12 Access Forbidden: Mapper Denied Access
Client Error,403.13,Forbidden,Microsoft,Client certificate revoked. Forbidden: Client certificate is denied access by the server certificate mapper.
Client Error,403.14,Forbidden,Microsoft,Directory listing denied.
Client Error,403.15,Forbidden,Microsoft,Forbidden: Client access licenses have exceeded limits on the Web server.
Client Error,403.16,Forbidden,Microsoft,Client certificate is untrusted or invalid.
Client Error,403.17,Forbidden,Microsoft,Client certificate has expired or is not yet valid.
Client Error,403.18,Forbidden,Microsoft,Cannot execute requested URL in the current application pool. This error code is specific to IIS 6.0.
Client Error,403.19,Forbidden,Microsoft,Cannot execute CGIs for the client in this application pool. This error code is specific to IIS 6.0.
Client Error,403.2,Forbidden,Microsoft,Read access forbidden. Verify that you have set up IIS to allow Read access to the directory. Also if you are using a default document verify that the document exists. For additional information about how to resolve this problem
Client Error,403.20,Forbidden,Microsoft,Passport logon failed. This error code is specific to IIS 6.0.
Client Error,403.3,Forbidden,Microsoft,Write access forbidden. Verify that the IIS permissions and the NTFS permissions are set up to grant Write access to the directory. For additional information about how to resolve this problem click the article number below to view the article in the Microsoft Knowledge Base: 248072 Error Message: 403.3 Forbidden: Write Access Forbidden
Client Error,403.4,Forbidden,Microsoft,SSL required. Disable the Require secure channel option or use HTTPS instead of HTTP to access the page. If you receive this error for a Web site that does not have a certificate installed click the article number below to view the article in the Microsoft Knowledge Base: 224389 Err Msg: HTTP Error 403 403.5 Forbidden: SSL Required
Client Error,403.5,Forbidden,Microsoft,SSL 128 required. Disable the Require 128-bit encryption option or use a browser that supports 128-bit encryption to view the page. If you receive this error for a Web site that does not have a certificate installed click the article number below to view the article in the Microsoft Knowledge Base: 224389 Err Msg: HTTP Error 403 403.5 Forbidden: SSL Required
Client Error,403.6,Forbidden,Microsoft,IP address rejected. You have configured your server to deny access to your current IP address. For additional information about how to resolve this problem click the article number below to view the article in the Microsoft Knowledge Base: 248043 Error Message: 403.6 Forbidden: IP Address Rejected
Client Error,403.7,Forbidden,Microsoft,Client certificate required. You have configured your server to require a certificate for client authentication but you do not have a valid client certificate installed. For additional information click the article numbers below to view the articles in the Microsoft Knowledge Base: 190004 Error 403.7 or 'Connection to Server Could Not Be Established' 186812 PRB: Error Message: 403.7 Forbidden: Client Certificate Required
Client Error,403.8,Forbidden,Microsoft,Site access denied. You have set up a domain name restriction for the domain that you are using to access your server. For additional information about how to resolve this problem click the article number below to view the article in the Microsoft Knowledge Base: 248032 Error Message: Forbidden: Site Access Denied 403.8
Client Error,403.9,Forbidden,Microsoft,Too many users. The number of users who are connected to the server exceeds the connection limit that you have set. For additional information about how to change this limit click the article number below to view the article in the Microsoft Knowledge Base: 248074 Error Message: Access Forbidden: Too Many Users Are Connected 403.9 NOTE : Microsoft Windows 2000 Professional and Microsoft Windows XP Professional automatically impose a 10-connection limit on IIS. You cannot change this limit.
Client Error,404,Not Found,RFC 7231,"Not found. This error may occur if the file that you are trying to access has been moved or deleted. It can also occur if you try to access a file that has a restricted file name extension after you install the URLScan tool. In this case you see ""Rejected by URLScan"" in the log file entry for that request. "
Client Error,404.1,Not Found,Microsoft,Web site not accessible on the requested port.
Client Error,404.2,Not Found,Microsoft,Web service extension lockdown policy prevents this request.
Client Error,404.3,Not Found,Microsoft,MIME map policy prevents this request.
Client Error,405,Method Not Allowed,RFC 7231,HTTP verb used to access this page is not allowed
Client Error,406,Not Acceptable,RFC 7231,Client browser does not accept the MIME type of the requested page.
Client Error,407,Proxy Authentication Required,RFC 7231,
Client Error,408,Request Timeout,RFC 7231,
Client Error,409,Conflict,RFC 7231,
Client Error,410,Gone,RFC 7231,
Client Error,411,Length Required,RFC 7231,
Client Error,412,Precondition Failed,RFC 7232,
Client Error,413,Request Entity Too Large,RFC 7231,
Client Error,414,Request-URI Too Long,RFC 7231,
Client Error,415,Unsupported Media Type,RFC 7231,
Client Error,416,Requested Range Not Satisfiable,RFC 7233,
Client Error,417,Expectation Failed,RFC 7231,
Client Error,418,I'm a teapot (RFC 2324),RFC 2324,This code was defined in 1998 as one of the traditional IETF April Fools' jokes in RFC 2324 Hyper Text Coffee Pot Control Protocol and is not expected to be implemented by actual HTTP servers. The RFC specifies this code should be returned by tea pots requested to brew coffee.[54] This HTTP status is used as an easter egg in some websites including Google.com.[55]
Client Error,419,Authentication Timeout,Non-Standard,Not a part of the HTTP standard RFC 2616 - denotes that previously valid authentication has expired. It is used as an alternative to 401 Unauthorized in order to differentiate from otherwise authenticated clients being denied access to specific server resources.[citation needed][56]
Unofficial,420,Method Failure,Spring Framework,A deprecated response used by the Spring Framework when a method has failed.[72]
Unofficial,420,Enhance Your Calm,Twitter,Returned by version 1 of the Twitter Search and Trends API when the client is being rate limited; versions 1.1 and later use the 429 Too Many Requests response code instead.[73]
Client Error,421,Misdirected Request,RFC 7540,The request was directed at a server that is not able to produce a response (for example because a connection reuse).[59]
Client Error,422,Unprocessable Entity,RFC 4918 WebDAV,The request was well-formed but was unable to be followed due to semantic errors.[17]
Client Error,423,Locked,RFC 4918 WebDAV,The resource that is being accessed is locked.[17]
Client Error,424,Failed Dependency,RFC 4918 WebDAV,The request failed due to failure of a previous request (e.g. a PROPPATCH).[17]
Client Error,426,Upgrade Required,RFC 2817,The client should switch to a different protocol such as TLS/1.0 given in the Upgrade header field.[60]
Client Error,428,Precondition Required,RFC 6585,"The origin server requires the request to be conditional. Intended to prevent ""the 'lost update' problem where a client GETs a resource's state modifies it and PUTs it back to the server when meanwhile a third party has modified the state on the server leading to a conflict.""[61] "
Client Error,429,Too Many Requests,RFC 6585,The user has sent too many requests in a given amount of time. Intended for use with rate limiting schemes.[61]
Client Error,431,Request Header Fields Too Large,RFC 6585,The server is unwilling to process the request because either an individual header field or all the header fields collectively are too large.[61]
Client Error,440,Login Timeout,Microsoft,A Microsoft extension. Indicates that your session has expired.[62]
Client Error,444,No Response,Nginx,Used in Nginx logs to indicate that the server has returned no information to the client and closed the connection (useful as a deterrent for malware).[63]
Client Error,449,Retry With,Microsoft,A Microsoft extension. The request should be retried after performing the appropriate action.[64]450 Blocked by Windows Parental Controls (Microsoft)A Microsoft extension. This error is given when Windows Parental Controls are turned on and are blocking access to the given webpage.[65]
Client Error,450,Blocked by Windows Parental Controls,Microsoft,(Microsoft)A Microsoft extension. This error is given when Windows Parental Controls are turned on and are blocking access to the given webpage.[74]498 Invalid Token (Esri)Returned by ArcGIS for Server. A code of 498 indicates an expired or otherwise invalid token.[75]
Client Error,451,Unavailable For Legal Reasons,Internet draft,"Defined in the internet draft ""A New HTTP Status Code for Legally-restricted Resources"".[66] Intended to be used when resource access is denied for legal reasons e.g. censorship or government-mandated blocked access. A reference to the 1953 dystopian novel Fahrenheit 451 where books are outlawed.[67] and the autoignition temperature of paper (burning books).451 Redirect (Microsoft)Used in Exchange ActiveSync if there either is a more efficient server to use or the server cannot access the users' mailbox.[68]The client is supposed to re-run the HTTP Autodiscovery protocol to find a better suited server.[69] "
Client Error,451,Redirect,Exchange ActiveSync,If there either is a more efficient server to use or the server cannot access the users' mailbox.[79] The client is supposed to re-run the HTTP Autodiscovery protocol to find a better suited server.[80]
Client Error,494,Request Header Too Large,Nginx,Nginx internal code similar to 431 but it was introduced earlier in version 0.9.4 (on January 21 2011).[70][original research?]
Client Error,495,Cert Error,Nginx,Nginx internal code used when SSL client certificate error occurred to distinguish it from 4XX in a log and an error page redirection.[71]
Client Error,496,No Cert,Nginx,Nginx internal code used when client didn't provide certificate to distinguish it from 4XX in a log and an error page redirection.[72]
Client Error,497,HTTP to HTTPS,Nginx,Nginx internal code used for the plain HTTP requests that are sent to HTTPS port to distinguish it from 4XX in a log and an error page redirection.[citation needed]
Client Error,498,Token expired/invalid,Esri,Returned by ArcGIS for Server. A code of 498 indicates an expired or otherwise invalid token.[73]
Client Error,499,Client Closed Request,Nginx,Used in Nginx logs to indicate when the connection has been closed by client while the server is still processing its request making server unable to send a status code back.[74]499 Token required (Esri)Returned by ArcGIS for Server. A code of 499 indicates that a token is required (if no token was submitted).[73]
Client Error,499,Token Required,Esri,Returned by ArcGIS for Server. A code of 499 indicates that a token is required but was not submitted.[75]
Server Error,500,Internal Server Error,RFC 7231,The server encountered an unexpected condition which prevented it from fulfilling the request.
Server Error,500.100,Internal Server Error,Microsoft,ASP ASP error. You receive this error message when you try to load an ASP page that has errors in the code. To obtain more specific information about the error disable friendly HTTP error messages. By default this error is only enabled on the default Web site. For additional information about how to see this error on non-default Web sites click the article number below to view the article in the Microsoft Knowledge Base: 261200 HTTP 500 Error Message Displays Instead of ASP Error Message from 500-100.asp
Server Error,500.11,Internal Server Error,Microsoft,This custom errors was not implemented. The .htm files was included with IIS 5.0 and IIS 6.0 but is not used.
Server Error,500.12,Internal Server Error,Microsoft,Application restarting. This indicates that you tried to load an ASP page while IIS was in the process of restarting the application. This message should disappear when you refresh the page. If you refresh the page and the message appears again it may be caused by antivirus software that is scanning your Global.asa file. For additional information click the article number below to view the article in the Microsoft Knowledge Base: 248013 Err Msg: HTTP Error 500-12 Application Restarting
Server Error,500.13,Internal Server Error,Microsoft,Web server is too busy.
Server Error,500.14,Internal Server Error,Microsoft,This custom errors was not implemented. The .htm files was included with IIS 5.0 and IIS 6.0 but is not used.
Server Error,500.15,Internal Server Error,Microsoft,Direct requests for Global.asa are not allowed.
Server Error,500.16,Internal Server Error,Microsoft,UNC authorization credentials incorrect. This error code is specific to IIS 6.0.
Server Error,500.18,Internal Server Error,Microsoft,URL authorization store cannot be opened. This error code is specific to IIS 6.0.
Server Error,501,Not Implemented,RFC 7231,The server does not support the functionality required to fulfill the request. This is the appropriate response when the server does not recognize the request method and is not capable of supporting it for any resource.
Server Error,502,Bad Gateway,RFC 7231,The server while acting as a gateway or proxy received an invalid response from the upstream server it accessed in attempting to fulfill the request.
Server Error,502,Bad gateway,,Bad gateway. You receive this error message when you try to run a CGI script that does not return a valid set of HTTP headers.
Server Error,502.1,Bad gateway,Microsoft,CGI application timeout.
Server Error,502.2,Bad gateway,Microsoft,Error in CGI application.
Server Error,503,Service Unavailable,RFC 7231,The server is currently unable to handle the request due to a temporary overloading or maintenance of the server. The implication is that this is a temporary condition which will be alleviated after some delay. If known the length of the delay may be indicated in a Retry-After header. If no Retry-After is given the client SHOULD handle the response as it would for a 500 response. Note: The existence of the 503 status code does not imply that a server must use it when becoming overloaded. Some servers may wish to simply refuse the connection.
Server Error,504,Gateway Timeout,RFC 7231,The server while acting as a gateway or proxy did not receive a timely response from the upstream server it accessed in attempting to complete the request.
Server Error,505,HTTP Version Not Supported,RFC 7231,The server does not support or refuses to support the HTTP protocol version that was used in the request message. The server is indicating that it is unable or unwilling to complete the request using the same major version as the client as described in section 3.1 other than with this error message. The response SHOULD contain an entity describing why that version is not supported and what other protocols are supported by that server.
Server Error,506,Variant also negotiates.  Not an endpoint,RFC 2295,The 506 status code indicates that the server has an internal configuration error: the chosen variant resource is configured to engage in transparent content negotiation itself and is therefore not a proper end point in the negotiation process.
Server Error,507,Insufficient Storage,RFC 4918,The 507 (Insufficient Storage) status code means the method could not be performed on the resource because the server is unable to store the representation needed to successfully complete the request. This condition is considered to be temporary. If the request which received this status code was the result of a user action the request MUST NOT be repeated until it is requested by a separate user action.
Server Error,508,Loop Detected,RFC 5842 WebDAV,The server detected an infinite loop while processing the request (sent in lieu of 208 Already Reported).
Server Error,508,Cross Server Binding Forbidden,,Cross Server Binding Forbidden - Since most servers will be forced to fail cross-server BIND requests because they are unable to guarantee the integrity of cross-server bindings status code 508 (Cross-server Binding Forbidden) is defined.
Server Error,509,Bandwidth Exceeded,Implementation Specific,Bandwidth Exceeded - Implementation dependent. (Apache bw/limited extension) The bandwidth available with your ISP or circuit provider has been/or soon will be exceeded. Different thresholds are used. 80 - 90% is common.
Server Error,509,Bandwidth Limit Exceeded,(Apache Web Server/cPanel),The server has exceeded the bandwidth specified by the server administrator; this is often used by shared hosting providers to limit the bandwidth of customers
Server Error,510,Request not Extended - Policy Violation,RFC 2774,Request not Extended. Policy Violation [RFC 2774] The server must identify all mandatory extension declarations (both hop-by-hop and end-to-end); the server MAY ignore optional declarations without affecting the result of processing the HTTP message and examine all extensions identified to determine if they are supported for this message. If not respond with a 510.
Server Error,511,Network Authentication Required,RFC 6585,"Network Authentication Required (RFC 6585) The client needs to authenticate to gain network access. Intended for use by intercepting proxies used to control access to the network (e.g. ""captive portals"" used to require agreement to Terms of Service before granting full Internet access via a Wi-Fi hotspot).[61] "
Server Error,520,Unknown Error,Non-Standard,"Unknown ErrorThis status code is not specified in any RFC and is returned by certain services for instance Microsoft Azure and CloudFlare servers: ""The 520 error is essentially a ""catch-all"" response for when the origin server returns something unexpected or something that is not tolerated/interpreted (protocol violation or empty response).""[86] "
Server Error,520,Unknown Error,CloudFlare,"The 520 error is used as a ""catch-all response for when the origin server returns something unexpected"" listing connection resets large headers and empty or invalid responses as common triggers."
Server Error,521,Web Server Is Down,CloudFlare,The origin server has refused the connection from CloudFlare.
Server Error,522,Origin Connection Time-out,Non-Standard,Origin Connection Time-outThis status code is not specified in any RFCs but is used by CloudFlare's reverse proxies to signal that a server connection timed out.
Server Error,522,Connection Timed Out,CloudFlare,could not negotiate a TCP handshake with the origin server.
Server Error,523,Origin Is Unreachable,CloudFlare,could not reach the origin server; for example if the DNS records for the origin server are incorrect.
Server Error,524,A Timeout Occurred,CloudFlare,was able to complete a TCP connection to the origin server but did not receive a timely HTTP response.
Server Error,525,SSL Handshake Failed,CloudFlare,could not negotiate a SSL/TLS handshake with the origin server.
Server Error,526,Invalid SSL Certificate,CloudFlare,could not validate the SSL/TLS certificate that the origin server presented.
Server Error,598,Network read timeout error,Non-Standard,Network read timeout error (Unknown) This status code is not specified in any RFCs but is used by Microsoft HTTP proxies to signal a network read timeout behind the proxy to a client in front of the proxy.
Server Error,599,Network connect timeout error,Non-Standard,Network connect timeout error (Unknown). This status code is not specified in any RFCs but is used by Microsoft HTTP proxies to signal a network connect timeout behind the proxy to a client in front of the proxy.
Proxy Error,64,ERROR_NETNAME_DELETED,Microsoft,IE disconnected the ssl conversation.
Proxy Error,995,ERROR_OPERATION_ABORTED,Microsoft,The Web server disconnected the ssl conversation.
